Rho	U	E	P
1	0	2.5	1
1	-4.27732e-16	2.5	1
1	-2.50022e-16	2.5	1
1	-4.44089e-18	2.5	1
1	-2.33517e-16	2.5	1
1	5.29206e-16	2.5	1
1	6.65394e-17	2.5	1
1	-3.93759e-16	2.5	1
1	2.42547e-16	2.5	1
1	-3.58084e-16	2.5	1
1	2.7082e-16	2.5	1
1	-1.02659e-16	2.5	1
1	-4.88498e-18	2.5	1
1	1.08506e-16	2.5	1
1	1.10948e-16	2.5	1
1	-4.89534e-16	2.5	1
1	2.13237e-16	2.5	1
1	-2.68008e-16	2.5	1
1	5.54371e-16	2.5	1
1	-1.12133e-16	2.5	1
1	-1.04657e-16	2.5	1
1	-1.10874e-16	2.5	1
1	5.9582e-17	2.5	1
1	1.13539e-16	2.5	1
1	-4.2033e-16	2.5	1
1	5.16106e-16	2.5	1
1	8.43029e-17	2.5	1
1	-1.8104e-16	2.5	1
1	4.80282e-16	2.5	1
1	-1.50472e-16	2.5	1
1	1.58392e-17	2.5	1
1	-4.08562e-17	2.5	1
1	9.14084e-17	2.5	1
1	-2.15309e-16	2.5	1
1	3.30624e-16	2.5	1
1	-6.71241e-16	2.5	1
1	1.48296e-15	2.5	1
1	-3.31357e-15	2.5	1
1	6.30651e-15	2.5	1
1	-1.16952e-14	2.5	1
1	2.00543e-14	2.5	1
1	-3.381e-14	2.5	1
1	5.60918e-14	2.5	1
1	-9.16671e-14	2.5	1
1	1.48919e-13	2.5	1
1	-2.40234e-13	2.5	1
1	3.83092e-13	2.5	1
1	-6.09205e-13	2.5	1
1	9.63863e-13	2.5	1
1	-1.51356e-12	2.5	1
1	2.36156e-12	2.5	1
1	-3.66066e-12	2.5	1
1	5.63579e-12	2.5	1
1	-8.61366e-12	2.5	1
1	1.30674e-11	2.5	1
1	-1.96725e-11	2.5	1
1	2.93736e-11	2.5	1
1	-4.34875e-11	2.5	1
1	6.38066e-11	2.5	1
1	-9.27367e-11	2.5	1
1	1.3345e-10	2.5	1
1	-1.90026e-10	2.5	1
1	2.67583e-10	2.5	1
1	-3.72357e-10	2.5	1
1	5.11662e-10	2.5	1
1	-6.93669e-10	2.5	1
1	9.26916e-10	2.5	1
1	-1.21946e-09	2.5	1
1	1.57755e-09	2.5	1
1	-2.00377e-09	2.5	1
1	2.49468e-09	2.5	1
1	-3.03809e-09	2.5	1
1	3.61028e-09	2.5	1
1	-4.17368e-09	2.5	1
1	4.67604e-09	2.5	1
1	-5.05182e-09	2.5	1
1	5.22732e-09	2.5	1
1	-5.13111e-09	2.5	1
1	4.7119e-09	2.5	1
1	-3.96603e-09	2.5	1
1	2.96875e-09	2.5	1
1	-1.86758e-09	2.5	1
1	7.00617e-10	2.5	1
1	1.17947e-09	2.5	1
1	-5.72891e-09	2.5	1
1	1.306e-08	2.5	1
1	-4.86153e-09	2.5	1
1	-1.16121e-07	2.5	1
0.999999	1.80115e-06	2.49999	0.999998
0.999987	1.48375e-05	2.49996	0.999982
0.999907	0.000116773	2.49966	0.999863
0.999359	0.000787825	2.49769	0.999075
0.99621	0.00457491	2.48656	0.99462
0.980299	0.0237044	2.4311	0.972328
0.924234	0.0931147	2.24174	0.895093
0.831821	0.213785	1.95051	0.772601
0.733635	0.358126	1.66247	0.646169
0.637431	0.507069	1.41606	0.533644
0.557944	0.653064	1.22191	0.441173
0.489611	0.796888	1.06178	0.362528
0.431139	0.910331	0.958948	0.312122
0.422902	0.941123	0.923523	0.294495
0.420123	0.934527	0.934377	0.300369
0.402013	0.920325	0.93747	0.306887
0.319581	0.921392	0.894953	0.303719
0.272299	0.931479	0.874943	0.302725
0.256294	0.934032	0.879599	0.307121
0.248274	0.921317	0.850731	0.298144
0.198232	0.572146	0.513882	0.192575
0.128406	0.0298422	0.261262	0.104482
0.125281	0.00257219	0.250836	0.100334
0.125017	0.000155007	0.25005	0.10002
0.125001	8.75927e-06	0.250003	0.100001
0.125	-8.45326e-07	0.25	0.0999999
0.125	1.37731e-07	0.25	0.1
0.125	5.75402e-09	0.25	0.1
0.125	-3.38843e-08	0.25	0.1
0.125	4.27772e-08	0.25	0.1
0.125	-5.20445e-08	0.25	0.1
0.125	6.10861e-08	0.25	0.1
0.125	-6.71918e-08	0.25	0.1
0.125	6.9183e-08	0.25	0.1
0.125	-6.7262e-08	0.25	0.1
0.125	6.23252e-08	0.25	0.1
0.125	-5.54618e-08	0.25	0.1
0.125	4.76784e-08	0.25	0.1
0.125	-3.9776e-08	0.25	0.1
