Rho	U	E	P
1	0	2.5	1
1	-4.70883e-16	2.5	1
1	-2.92951e-16	2.5	1
1	9.14084e-17	2.5	1
1	-2.67712e-16	2.5	1
1	5.62439e-16	2.5	1
1	-1.17166e-16	2.5	1
1	-8.14164e-17	2.5	1
1	9.91799e-18	2.5	1
1	-1.73195e-16	2.5	1
1	1.46845e-16	2.5	1
1	-1.03399e-16	2.5	1
1	2.28706e-17	2.5	1
1	1.14649e-16	2.5	1
1	1.09912e-16	2.5	1
1	-4.19368e-16	2.5	1
1	1.97324e-16	2.5	1
1	-2.57128e-16	2.5	1
1	4.40536e-16	2.5	1
1	-1.13317e-16	2.5	1
1	-7.69014e-17	2.5	1
1	-4.91459e-17	2.5	1
1	5.89899e-17	2.5	1
1	1.04879e-16	2.5	1
1	-3.68076e-16	2.5	1
1	5.27578e-16	2.5	1
1	1.82817e-16	2.5	1
1	-2.90138e-16	2.5	1
1	3.41875e-16	2.5	1
1	-1.09616e-16	2.5	1
1	-5.63993e-17	2.5	1
1	4.93679e-17	2.5	1
1	-2.25745e-17	2.5	1
1	-3.56752e-17	2.5	1
1	7.4755e-17	2.5	1
1	-8.70415e-17	2.5	1
1	-3.84877e-17	2.5	1
1	9.83658e-17	2.5	1
1	-7.11283e-17	2.5	1
1	-9.37028e-17	2.5	1
1	2.66231e-16	2.5	1
1	-8.58128e-16	2.5	1
1	2.04266e-15	2.5	1
1	-4.23446e-15	2.5	1
1	8.18375e-15	2.5	1
1	-1.50726e-14	2.5	1
1	2.57148e-14	2.5	1
1	-4.39955e-14	2.5	1
1	7.38825e-14	2.5	1
1	-1.22539e-13	2.5	1
1	2.02685e-13	2.5	1
1	-3.32589e-13	2.5	1
1	5.4171e-13	2.5	1
1	-8.76414e-13	2.5	1
1	1.40905e-12	2.5	1
1	-2.25106e-12	2.5	1
1	3.57008e-12	2.5	1
1	-5.62242e-12	2.5	1
1	8.7876e-12	2.5	1
1	-1.36245e-11	2.5	1
1	2.09503e-11	2.5	1
1	-3.19347e-11	2.5	1
1	4.82289e-11	2.5	1
1	-7.21308e-11	2.5	1
1	1.06771e-10	2.5	1
1	-1.56324e-10	2.5	1
1	2.26222e-10	2.5	1
1	-3.23327e-10	2.5	1
1	4.56002e-10	2.5	1
1	-6.33978e-10	2.5	1
1	8.67905e-10	2.5	1
1	-1.16841e-09	2.5	1
1	1.54452e-09	2.5	1
1	-2.00126e-09	2.5	1
1	2.53651e-09	2.5	1
1	-3.13717e-09	2.5	1
1	3.77517e-09	2.5	1
1	-4.4043e-09	2.5	1
1	4.95887e-09	2.5	1
1	-5.35578e-09	2.5	1
1	5.50232e-09	2.5	1
1	-5.31833e-09	2.5	1
1	4.79986e-09	2.5	1
1	-4.1833e-09	2.5	1
1	4.21316e-09	2.5	1
1	-5.89626e-09	2.5	1
1	6.59851e-09	2.5	1
1	1.44611e-08	2.5	1
1	-1.44715e-07	2.5	1
0.999999	1.24941e-06	2.5	0.999999
0.99999	1.14137e-05	2.49997	0.999986
0.999921	0.000100602	2.49971	0.999883
0.999398	0.000746972	2.49781	0.999125
0.996112	0.00471782	2.48615	0.994458
