Rho	U	E	P
1	0	2.5	1
1	-6.30977e-16	2.5	1
1	-3.79992e-16	2.5	1
1	-3.20928e-16	2.5	1
1	-1.41738e-16	2.5	1
1	5.60071e-16	2.5	1
1	5.5526e-16	2.5	1
1	-6.99737e-16	2.5	1
1	9.77736e-17	2.5	1
1	-2.63937e-16	2.5	1
1	5.31575e-16	2.5	1
1	-1.09912e-16	2.5	1
1	-9.4369e-17	2.5	1
1	-1.30044e-16	2.5	1
1	6.75164e-16	2.5	1
1	-1.96132e-15	2.5	1
1	3.43992e-15	2.5	1
1	-6.66015e-15	2.5	1
1	1.20803e-14	2.5	1
1	-1.95549e-14	2.5	1
1	3.12325e-14	2.5	1
1	-4.97386e-14	2.5	1
1	7.68422e-14	2.5	1
1	-1.1786e-13	2.5	1
1	1.79111e-13	2.5	1
1	-2.7128e-13	2.5	1
1	4.07819e-13	2.5	1
1	-6.11076e-13	2.5	1
1	9.1007e-13	2.5	1
1	-1.34819e-12	2.5	1
1	1.98562e-12	2.5	1
1	-2.90978e-12	2.5	1
1	4.24e-12	2.5	1
1	-6.14173e-12	2.5	1
1	8.84486e-12	2.5	1
1	-1.26587e-11	2.5	1
1	1.80035e-11	2.5	1
1	-2.54369e-11	2.5	1
1	3.56963e-11	2.5	1
1	-4.97407e-11	2.5	1
1	6.88067e-11	2.5	1
1	-9.44549e-11	2.5	1
1	1.28639e-10	2.5	1
1	-1.73752e-10	2.5	1
1	2.32664e-10	2.5	1
1	-3.08739e-10	2.5	1
1	4.05817e-10	2.5	1
1	-5.28131e-10	2.5	1
1	6.80134e-10	2.5	1
1	-8.66234e-10	2.5	1
1	1.0904e-09	2.5	1
1	-1.3556e-09	2.5	1
1	1.66311e-09	2.5	1
1	-2.01166e-09	2.5	1
1	2.3965e-09	2.5	1
1	-2.80842e-09	2.5	1
1	3.2329e-09	2.5	1
1	-3.64953e-09	2.5	1
1	4.03194e-09	2.5	1
1	-4.34848e-09	2.5	1
1	4.56389e-09	2.5	1
1	-4.6422e-09	2.5	1
1	4.55075e-09	2.5	1
1	-4.26541e-09	2.5	1
1	3.77636e-09	2.5	1
1	-3.09371e-09	2.5	1
1	2.25186e-09	2.5	1
1	-1.31112e-09	2.5	1
1	3.55295e-10	2.5	1
1	5.15909e-10	2.5	1
1	-1.20007e-09	2.5	1
1	1.60996e-09	2.5	1
1	-1.69422e-09	2.5	1
1	1.45705e-09	2.5	1
1	-9.68673e-10	2.5	1
1	3.45177e-10	2.5	1
1	3.48966e-10	2.5	1
1	-1.31024e-09	2.5	1
1	3.09354e-09	2.5	1
1	-5.51828e-09	2.5	1
1	3.46548e-09	2.5	1
1	1.69575e-08	2.5	1
1	-6.6335e-08	2.5	1
1	1.39707e-07	2.5	1
0.999997	3.74467e-06	2.49999	0.999996
0.99998	2.42481e-05	2.49993	0.999971
0.99988	0.000146201	2.49957	0.999828
0.99935	0.000783524	2.49769	0.999077
0.99688	0.00372267	2.48902	0.995606
0.987023	0.0156691	2.45457	0.98178
0.954346	0.0544039	2.34298	0.936627
0.899477	0.125943	2.16172	0.861835
0.833144	0.209551	1.95428	0.774396
0.771218	0.305153	1.76927	0.693344
0.704928	0.394994	1.58819	0.613278
0.646512	0.497831	1.44111	0.544398
0.595718	0.580466	1.30394	0.481433
0.539149	0.690414	1.18715	0.42346
0.500839	0.764114	1.09028	0.377627
0.451117	0.863895	0.99798	0.331857
0.435729	0.916313	0.955006	0.308832
0.420639	0.938913	0.929929	0.297808
0.424101	0.927508	0.936536	0.301646
0.430696	0.919362	0.949079	0.306824
0.431442	0.924021	0.946116	0.304772
0.423982	0.929819	0.938149	0.301948
0.388165	0.925721	0.923157	0.302734
0.320243	0.927481	0.893217	0.302191
0.271684	0.929337	0.877167	0.303938
0.254255	0.925907	0.864706	0.302288
0.25383	0.927355	0.864899	0.302302
0.259004	0.929041	0.868876	0.30284
0.264838	0.927463	0.869123	0.302087
0.256391	0.859668	0.783252	0.275405
0.158641	0.308329	0.367234	0.143877
0.126674	0.0174528	0.255523	0.102201
0.125119	0.00107711	0.250341	0.100136
0.125007	5.74245e-05	0.250019	0.100008
0.125	3.17323e-06	0.250001	0.1
0.125	-8.12478e-07	0.25	0.0999999
0.125	2.3907e-07	0.25	0.1
0.125	-5.86029e-08	0.25	0.1
0.125	1.51669e-08	0.25	0.1
0.125	-1.34787e-08	0.25	0.1
0.125	1.82373e-08	0.25	0.1
0.125	-1.91347e-08	0.25	0.1
0.125	1.44977e-08	0.25	0.1
0.125	-5.29675e-09	0.25	0.1
0.125	-6.78333e-09	0.25	0.1
0.125	1.99753e-08	0.25	0.1
0.125	-3.27037e-08	0.25	0.1
0.125	4.37382e-08	0.25	0.1
0.125	-5.22685e-08	0.25	0.1
0.125	5.79059e-08	0.25	0.1
0.125	-6.06296e-08	0.25	0.1
0.125	6.06998e-08	0.25	0.1
0.125	-5.85582e-08	0.25	0.1
0.125	5.47354e-08	0.25	0.1
0.125	-4.97739e-08	0.25	0.1
