Rho	U	E	P
1	0	2.5	1
1	-3.81547e-16	2.5	1
1	-1.74231e-16	2.5	1
1	-1.41294e-16	2.5	1
1	-1.88368e-16	2.5	1
1	3.3736e-16	2.5	1
1	4.08044e-16	2.5	1
1	-6.28016e-16	2.5	1
1	2.60458e-16	2.5	1
1	-3.43651e-16	2.5	1
1	3.51867e-16	2.5	1
1	-1.09912e-16	2.5	1
1	-4.39648e-17	2.5	1
1	1.1191e-16	2.5	1
1	1.45291e-16	2.5	1
1	-5.50301e-16	2.5	1
1	1.6831e-16	2.5	1
1	-1.66681e-16	2.5	1
1	5.36238e-16	2.5	1
1	-1.10948e-16	2.5	1
1	2.32407e-17	2.5	1
1	-1.64165e-16	2.5	1
1	-5.55852e-17	2.5	1
1	1.15981e-16	2.5	1
1	-4.11745e-16	2.5	1
1	5.278e-16	2.5	1
1	1.12207e-16	2.5	1
1	-3.74071e-16	2.5	1
1	7.50437e-16	2.5	1
1	-5.35276e-16	2.5	1
1	1.04191e-15	2.5	1
1	-2.36781e-15	2.5	1
1	4.64525e-15	2.5	1
1	-8.64753e-15	2.5	1
1	1.46353e-14	2.5	1
1	-2.47316e-14	2.5	1
1	4.07424e-14	2.5	1
1	-6.56694e-14	2.5	1
1	1.04726e-13	2.5	1
1	-1.66705e-13	2.5	1
1	2.63275e-13	2.5	1
1	-4.12934e-13	2.5	1
1	6.44271e-13	2.5	1
1	-9.99012e-13	2.5	1
1	1.5388e-12	2.5	1
1	-2.35733e-12	2.5	1
1	3.58734e-12	2.5	1
1	-5.42422e-12	2.5	1
1	8.14753e-12	2.5	1
1	-1.21513e-11	2.5	1
1	1.79904e-11	2.5	1
1	-2.64334e-11	2.5	1
1	3.85334e-11	2.5	1
1	-5.5706e-11	2.5	1
1	7.98319e-11	2.5	1
1	-1.13369e-10	2.5	1
1	1.59452e-10	2.5	1
1	-2.22012e-10	2.5	1
1	3.05832e-10	2.5	1
1	-4.16564e-10	2.5	1
1	5.60627e-10	2.5	1
1	-7.44946e-10	2.5	1
1	9.76475e-10	2.5	1
1	-1.26142e-09	2.5	1
1	1.60413e-09	2.5	1
1	-2.00561e-09	2.5	1
1	2.46173e-09	2.5	1
1	-2.96121e-09	2.5	1
1	3.48367e-09	2.5	1
1	-3.99815e-09	2.5	1
1	4.46274e-09	2.5	1
1	-4.82585e-09	2.5	1
1	5.03018e-09	2.5	1
1	-5.0197e-09	2.5	1
1	4.75006e-09	2.5	1
1	-4.2016e-09	2.5	1
1	3.39224e-09	2.5	1
1	-2.38376e-09	2.5	1
1	1.26923e-09	2.5	1
1	-1.30332e-10	2.5	1
1	-1.00574e-09	2.5	1
1	2.02454e-09	2.5	1
1	-1.94653e-09	2.5	1
1	-2.58384e-09	2.5	1
1	1.53928e-08	2.5	1
1	-2.36722e-08	2.5	1
1	-6.44583e-08	2.5	1
0.999998	2.3451e-06	2.49999	0.999997
0.999985	1.78573e-05	2.49995	0.999979
0.999896	0.000128761	2.49962	0.999849
0.999339	0.000805656	2.49763	0.999053
0.996356	0.00438166	2.48711	0.994841
0.982407	0.0211978	2.43848	0.975305
0.934354	0.0798466	2.27532	0.908938
0.854799	0.183447	2.02133	0.80278
0.76626	0.306281	1.75744	0.688599
0.682745	0.437027	1.52773	0.585012
0.605126	0.566038	1.33083	0.493554
0.533112	0.694485	1.17426	0.41828
0.479976	0.820118	1.03727	0.350343
0.42905	0.914987	0.954769	0.310067
0.423305	0.94008	0.930809	0.297504
0.425075	0.933563	0.932406	0.298868
0.423528	0.91534	0.947206	0.307912
0.380927	0.926891	0.923752	0.304048
0.302626	0.927879	0.885992	0.302287
0.265374	0.926235	0.869365	0.302212
0.254592	0.932954	0.872792	0.304797
0.252361	0.930341	0.869514	0.30412
0.239438	0.795769	0.706284	0.252189
0.143411	0.169151	0.30719	0.122055
0.125897	0.00877537	0.252774	0.101108
0.125057	0.000515949	0.250163	0.100065
0.125003	2.74319e-05	0.250009	0.100004
0.125	9.50033e-07	0.25	0.1
0.125	-4.65809e-07	0.25	0.0999999
0.125	1.94965e-07	0.25	0.1
