Rho	U	E	P
1	0	2.5	1
1	-1.1946e-16	2.5	1
1	-7.27566e-17	2.5	1
1	1.29896e-16	2.5	1
1	-2.22933e-16	2.5	1
1	2.14939e-16	2.5	1
1	-1.12133e-16	2.5	1
1	1.91699e-17	2.5	1
1	2.07242e-17	2.5	1
1	-5.39568e-17	2.5	1
1	5.39568e-17	2.5	1
1	-6.66874e-17	2.5	1
1	3.44909e-17	2.5	1
1	-8.71895e-17	2.5	1
1	1.01844e-16	2.5	1
1	1.14057e-16	2.5	1
1	-1.02363e-16	2.5	1
1	-9.75516e-17	2.5	1
1	9.88098e-17	2.5	1
1	1.16351e-16	2.5	1
1	-7.56432e-17	2.5	1
1	-2.28706e-17	2.5	1
1	2.5017e-17	2.5	1
1	8.88178e-17	2.5	1
1	-8.37108e-17	2.5	1
1	5.03301e-17	2.5	1
1	-2.28706e-17	2.5	1
1	-1.11022e-17	2.5	1
1	4.91459e-17	2.5	1
1	-7.62353e-17	2.5	1
1	6.75756e-17	2.5	1
1	-4.15223e-17	2.5	1
1	7.29787e-17	2.5	1
1	-8.72635e-17	2.5	1
1	7.89739e-17	2.5	1
1	-9.20745e-17	2.5	1
1	3.28626e-17	2.5	1
1	2.21304e-17	2.5	1
1	-6.49851e-17	2.5	1
1	3.08642e-17	2.5	1
1	-1.4951e-17	2.5	1
1	3.41209e-17	2.5	1
1	-7.58652e-17	2.5	1
1	1.19534e-16	2.5	1
1	-1.17906e-16	2.5	1
1	2.24265e-17	2.5	1
1	5.13663e-17	2.5	1
1	8.47409e-33	2.5	1
1	-7.73455e-17	2.5	1
1	9.59973e-17	2.5	1
1	-4.67774e-17	2.5	1
1	-2.16864e-17	2.5	1
1	9.00021e-17	2.5	1
1	-6.57252e-17	2.5	1
1	-4.70735e-17	2.5	1
1	1.08432e-16	2.5	1
1	-7.08322e-17	2.5	1
1	-2.36107e-17	2.5	1
1	5.11443e-17	2.5	1
1	-1.44329e-17	2.5	1
1	-4.07082e-17	2.5	1
1	9.17044e-17	2.5	1
1	-1.09542e-16	2.5	1
1	4.01161e-17	2.5	1
1	1.16573e-16	2.5	1
1	-2.69562e-16	2.5	1
1	3.93167e-16	2.5	1
1	-5.94857e-16	2.5	1
1	1.24352e-15	2.5	1
1	-3.05689e-15	2.5	1
1	6.84556e-15	2.5	1
1	-1.44051e-14	2.5	1
1	2.96017e-14	2.5	1
1	-6.03884e-14	2.5	1
1	1.22525e-13	2.5	1
1	-2.46668e-13	2.5	1
1	4.9358e-13	2.5	1
1	-9.81402e-13	2.5	1
1	1.93701e-12	2.5	1
1	-3.79285e-12	2.5	1
1	7.36018e-12	2.5	1
1	-1.41432e-11	2.5	1
1	2.68905e-11	2.5	1
1	-5.05504e-11	2.5	1
1	9.39324e-11	2.5	1
1	-1.72646e-10	2.5	1
1	3.14638e-10	2.5	1
1	-5.71788e-10	2.5	1
1	1.04726e-09	2.5	1
1	-1.96546e-09	2.5	1
1	3.8548e-09	2.5	1
1	-8.00752e-09	2.5	1
1	1.75166e-08	2.5	1
1	-3.97769e-08	2.5	1
1	1.00482e-07	2.5	1
0.999997	3.06964e-06	2.49999	0.999996
0.999937	0.000101551	2.49972	0.999886
0.998469	0.00219818	2.4936	0.997439
0.969652	0.0483136	2.37044	0.947724
0.727824	0.375506	1.66677	0.646183
0.381119	0.791502	1.0066	0.354887
0.169516	0.542252	0.453334	0.171365
0.128335	0.0296083	0.259122	0.103626
0.125146	0.00135624	0.250417	0.100167
0.125005	3.98879e-05	0.250013	0.100005
0.125	1.30685e-06	0.25	0.1
0.125	-4.50745e-07	0.25	0.1
0.125	2.06315e-07	0.25	0.1
0.125	-1.01769e-07	0.25	0.1
0.125	5.21452e-08	0.25	0.1
0.125	-2.74001e-08	0.25	0.1
0.125	1.45865e-08	0.25	0.1
0.125	-7.79327e-09	0.25	0.1
0.125	4.15231e-09	0.25	0.1
0.125	-2.19789e-09	0.25	0.1
0.125	1.15346e-09	0.25	0.1
0.125	-5.99695e-10	0.25	0.1
0.125	3.08851e-10	0.25	0.1
0.125	-1.57611e-10	0.25	0.1
0.125	7.97361e-11	0.25	0.1
