Rho	U	E	P
1	0	2.5	1
1	-3.33585e-16	2.5	1
1	-1.13243e-16	2.5	1
1	1.12725e-16	2.5	1
1	-3.08568e-16	2.5	1
1	3.44761e-16	2.5	1
1	-1.07988e-16	2.5	1
1	-1.17536e-16	2.5	1
1	4.84057e-17	2.5	1
1	-2.73115e-17	2.5	1
1	1.06655e-16	2.5	1
1	-1.14427e-16	2.5	1
1	-1.55431e-17	2.5	1
1	1.09024e-16	2.5	1
1	1.09098e-16	2.5	1
1	-1.80078e-16	2.5	1
1	2.1975e-16	2.5	1
1	-4.26844e-16	2.5	1
1	2.97688e-16	2.5	1
1	-1.11022e-16	2.5	1
1	2.05613e-16	2.5	1
1	-1.53211e-16	2.5	1
1	1.82891e-16	2.5	1
1	9.15564e-17	2.5	1
1	-2.97096e-16	2.5	1
1	3.00204e-16	2.5	1
1	-1.12429e-16	2.5	1
1	-1.71714e-17	2.5	1
1	2.80516e-17	2.5	1
1	1.38408e-17	2.5	1
1	-5.78796e-17	2.5	1
1	7.26826e-17	2.5	1
1	-6.4467e-17	2.5	1
1	1.23605e-17	2.5	1
1	6.64654e-17	2.5	1
1	-5.21805e-17	2.5	1
1	-5.86938e-17	2.5	1
1	8.4673e-17	2.5	1
1	-1.08136e-16	2.5	1
1	2.28706e-17	2.5	1
1	6.43189e-17	2.5	1
1	-1.202e-16	2.5	1
1	6.55032e-17	2.5	1
1	4.90719e-17	2.5	1
1	-1.00364e-16	2.5	1
1	5.73615e-17	2.5	1
1	4.28546e-17	2.5	1
1	-8.80777e-17	2.5	1
1	4.14483e-17	2.5	1
1	4.75916e-17	2.5	1
1	-1.05249e-16	2.5	1
1	1.06285e-16	2.5	1
1	6.66134e-19	2.5	1
1	-6.32827e-17	2.5	1
1	1.93919e-17	2.5	1
1	5.88418e-17	2.5	1
1	-8.70415e-17	2.5	1
1	-6.9574e-18	2.5	1
1	1.67052e-16	2.5	1
1	-4.94567e-16	2.5	1
1	1.14619e-15	2.5	1
1	-2.73418e-15	2.5	1
1	5.67072e-15	2.5	1
1	-1.12488e-14	2.5	1
1	2.15371e-14	2.5	1
1	-4.07501e-14	2.5	1
1	7.68417e-14	2.5	1
1	-1.43146e-13	2.5	1
1	2.63971e-13	2.5	1
1	-4.85169e-13	2.5	1
1	8.85627e-13	2.5	1
1	-1.60488e-12	2.5	1
1	2.88791e-12	2.5	1
1	-5.15322e-12	2.5	1
1	9.11774e-12	2.5	1
1	-1.59843e-11	2.5	1
