Rho	U	E	P
1	0	2.5	1
1	-4.301e-16	2.5	1
1	-2.10942e-16	2.5	1
1	8.35628e-17	2.5	1
1	-3.24333e-16	2.5	1
1	5.32093e-16	2.5	1
1	-1.13169e-16	2.5	1
1	-2.36848e-17	2.5	1
1	-1.33375e-16	2.5	1
1	-3.39728e-17	2.5	1
1	1.11096e-16	2.5	1
1	-9.9772e-17	2.5	1
1	6.50591e-17	2.5	1
1	1.0103e-16	2.5	1
1	1.12429e-16	2.5	1
1	-4.04417e-16	2.5	1
1	2.53279e-16	2.5	1
1	-3.25813e-16	2.5	1
1	3.61859e-16	2.5	1
1	-1.16943e-16	2.5	1
1	5.88418e-17	2.5	1
1	-9.955e-17	2.5	1
1	6.54291e-17	2.5	1
1	1.05841e-16	2.5	1
1	-2.85105e-16	2.5	1
1	5.62883e-16	2.5	1
1	-9.98461e-17	2.5	1
1	-9.34068e-17	2.5	1
1	1.42849e-16	2.5	1
1	-8.74116e-17	2.5	1
1	2.13163e-17	2.5	1
1	6.88338e-17	2.5	1
1	-6.33567e-17	2.5	1
1	-4.03381e-17	2.5	1
1	1.01992e-16	2.5	1
1	-1.03917e-16	2.5	1
1	-2.28706e-17	2.5	1
1	1.03917e-16	2.5	1
1	-1.01844e-16	2.5	1
1	2.23525e-17	2.5	1
1	-6.09142e-17	2.5	1
1	-2.90138e-17	2.5	1
1	2.79776e-17	2.5	1
1	1.12429e-16	2.5	1
1	-1.08284e-16	2.5	1
1	-3.75996e-17	2.5	1
1	3.90873e-16	2.5	1
1	-1.09697e-15	2.5	1
1	2.3482e-15	2.5	1
1	-4.8724e-15	2.5	1
1	9.30263e-15	2.5	1
1	-1.71108e-14	2.5	1
1	3.00885e-14	2.5	1
1	-5.21783e-14	2.5	1
1	8.9507e-14	2.5	1
1	-1.53004e-13	2.5	1
1	2.59102e-13	2.5	1
1	-4.35251e-13	2.5	1
1	7.26285e-13	2.5	1
1	-1.2044e-12	2.5	1
1	1.98327e-12	2.5	1
1	-3.24179e-12	2.5	1
1	5.25836e-12	2.5	1
1	-8.46336e-12	2.5	1
1	1.35063e-11	2.5	1
1	-2.13611e-11	2.5	1
1	3.34689e-11	2.5	1
1	-5.19185e-11	2.5	1
1	7.96845e-11	2.5	1
1	-1.20922e-10	2.5	1
1	1.81289e-10	2.5	1
1	-2.68279e-10	2.5	1
1	3.91485e-10	2.5	1
1	-5.62665e-10	2.5	1
1	7.95452e-10	2.5	1
1	-1.10439e-09	2.5	1
1	1.50301e-09	2.5	1
1	-2.00058e-09	2.5	1
1	2.59709e-09	2.5	1
1	-3.27661e-09	2.5	1
1	3.99853e-09	2.5	1
1	-4.68654e-09	2.5	1
1	5.21163e-09	2.5	1
1	-5.36162e-09	2.5	1
1	4.79961e-09	2.5	1
1	-3.12595e-09	2.5	1
1	6.59372e-10	2.5	1
1	-2.03497e-09	2.5	1
1	2.64058e-08	2.5	1
1	-1.35582e-07	2.5	1
1	7.17954e-07	2.5	0.999999
0.999993	7.77795e-06	2.49998	0.999991
0.999939	7.9573e-05	2.49977	0.999908
0.999467	0.000672591	2.49804	0.999214
0.996109	0.00475431	2.48608	0.994427
0.974977	0.0306547	2.41176	0.964521
0.892842	0.13397	2.13664	0.851453
0.760426	0.316017	1.74278	0.681924
0.633388	0.522753	1.39153	0.521996
0.517604	0.726023	1.13426	0.399136
0.445714	0.891874	0.978798	0.320612
0.410387	0.95224	0.914918	0.291542
0.357309	0.933777	0.902296	0.298608
0.297577	0.936917	0.909997	0.311755
0.256206	0.930244	0.886502	0.310259
0.199635	0.651001	0.586621	0.217727
0.132946	0.0616352	0.268657	0.107362
0.125452	0.00408651	0.251293	0.100517
0.125028	0.000252994	0.25008	0.100032
0.125002	1.38435e-05	0.250005	0.100002
0.125	-3.70715e-07	0.25	0.1
0.125	-4.12204e-08	0.25	0.1
0.125	1.78078e-08	0.25	0.1
0.125	3.57386e-08	0.25	0.1
0.125	-6.5584e-08	0.25	0.1
0.125	7.40603e-08	0.25	0.1
0.125	-7.07966e-08	0.25	0.1
0.125	6.22537e-08	0.25	0.1
0.125	-5.1926e-08	0.25	0.1
0.125	4.16366e-08	0.25	0.1
0.125	-3.23178e-08	0.25	0.1
0.125	2.43883e-08	0.25	0.1
0.125	-1.79515e-08	0.25	0.1
0.125	1.29221e-08	0.25	0.1
0.125	-9.11651e-09	0.25	0.1
0.125	6.31542e-09	0.25	0.1
0.125	-4.30279e-09	0.25	0.1
0.125	2.88717e-09	0.25	0.1
0.125	-1.91026e-09	0.25	0.1
0.125	1.24757e-09	0.25	0.1
0.125	-8.04992e-10	0.25	0.1
0.125	5.13599e-10	0.25	0.1
0.125	-3.24247e-10	0.25	0.1
0.125	2.02691e-10	0.25	0.1
0.125	-1.2553e-10	0.25	0.1
0.125	7.70619e-11	0.25	0.1
0.125	-4.69163e-11	0.25	0.1
0.125	2.83393e-11	0.25	0.1
0.125	-1.699e-11	0.25	0.1
0.125	1.01128e-11	0.25	0.1
0.125	-5.98031e-12	0.25	0.1
0.125	3.51395e-12	0.25	0.1
0.125	-2.05059e-12	0.25	0.1
0.125	1.19037e-12	0.25	0.1
0.125	-6.87123e-13	0.25	0.1
0.125	3.94007e-13	0.25	0.1
0.125	-2.25638e-13	0.25	0.1
0.125	1.28384e-13	0.25	0.1
0.125	-7.23011e-14	0.25	0.1
0.125	4.06014e-14	0.25	0.1
0.125	-2.22252e-14	0.25	0.1
0.125	1.19601e-14	0.25	0.1
0.125	-6.8386e-15	0.25	0.1
0.125	3.51127e-15	0.25	0.1
0.125	-1.90396e-15	0.25	0.1
0.125	1.13487e-15	0.25	0.1
0.125	-9.4665e-16	0.25	0.1
0.125	4.3802e-16	0.25	0.1
0.125	-1.08062e-17	0.25	0.1
0.125	1.55727e-16	0.25	0.1
0.125	-3.31587e-17	0.25	0.1
0.125	-7.43109e-17	0.25	0.1
