Rho	U	E	P
1	0	2.5	1
1	-3.88726e-16	2.5	1
1	-1.73121e-16	2.5	1
1	1.04953e-16	2.5	1
1	-3.43281e-16	2.5	1
1	4.75101e-16	2.5	1
1	-1.01696e-16	2.5	1
1	-1.26935e-16	2.5	1
1	-7.4681e-17	2.5	1
1	8.63013e-17	2.5	1
1	3.9746e-17	2.5	1
1	-8.26006e-17	2.5	1
1	4.21145e-17	2.5	1
1	1.03621e-16	2.5	1
1	1.30784e-16	2.5	1
1	-3.75255e-16	2.5	1
1	2.8096e-16	2.5	1
1	-3.6963e-16	2.5	1
1	3.2648e-16	2.5	1
1	-1.1909e-16	2.5	1
1	1.0858e-16	2.5	1
1	-1.81188e-16	2.5	1
1	1.5854e-16	2.5	1
1	2.592e-16	2.5	1
1	-3.29292e-16	2.5	1
1	3.42837e-16	2.5	1
1	-1.10282e-16	2.5	1
1	-6.52811e-17	2.5	1
1	9.51091e-17	2.5	1
1	-2.93099e-17	2.5	1
1	1.03621e-18	2.5	1
1	3.26406e-17	2.5	1
1	-5.24025e-17	2.5	1
1	1.25825e-18	2.5	1
1	9.85878e-17	2.5	1
1	-9.35548e-17	2.5	1
1	-3.75996e-17	2.5	1
1	1.08728e-16	2.5	1
1	-9.91799e-17	2.5	1
1	-1.5025e-17	2.5	1
1	3.40468e-17	2.5	1
1	-1.05767e-16	2.5	1
1	5.30687e-17	2.5	1
1	1.06433e-16	2.5	1
1	-1.17388e-16	2.5	1
1	8.9558e-18	2.5	1
1	1.25751e-16	2.5	1
1	-1.0969e-16	2.5	1
1	-4.34467e-17	2.5	1
1	8.25266e-17	2.5	1
1	-8.05282e-17	2.5	1
1	1.05841e-17	2.5	1
1	2.88584e-16	2.5	1
1	-8.74634e-16	2.5	1
1	1.97353e-15	2.5	1
1	-4.31329e-15	2.5	1
1	8.57877e-15	2.5	1
1	-1.63166e-14	2.5	1
1	2.97051e-14	2.5	1
1	-5.36129e-14	2.5	1
1	9.53806e-14	2.5	1
1	-1.68415e-13	2.5	1
1	2.94866e-13	2.5	1
1	-5.13692e-13	2.5	1
1	8.87886e-13	2.5	1
1	-1.52325e-12	2.5	1
1	2.59635e-12	2.5	1
1	-4.39041e-12	2.5	1
1	7.35952e-12	2.5	1
1	-1.22275e-11	2.5	1
1	2.01246e-11	2.5	1
1	-3.27882e-11	2.5	1
1	5.2845e-11	2.5	1
1	-8.41771e-11	2.5	1
1	1.32406e-10	2.5	1
1	-2.05438e-10	2.5	1
1	3.14055e-10	2.5	1
1	-4.72399e-10	2.5	1
1	6.98153e-10	2.5	1
1	-1.01214e-09	2.5	1
1	1.43707e-09	2.5	1
1	-1.99544e-09	2.5	1
1	2.70733e-09	2.5	1
1	-3.58974e-09	2.5	1
1	4.65636e-09	2.5	1
1	-5.89548e-09	2.5	1
1	7.11687e-09	2.5	1
1	-7.29916e-09	2.5	1
1	2.5371e-09	2.5	1
1	1.83478e-08	2.5	1
1	-8.11459e-08	2.5	1
1	2.64573e-07	2.5	1
0.999996	4.26517e-06	2.49999	0.999995
0.99996	5.37457e-05	2.49985	0.999938
0.999577	0.000549242	2.4984	0.999362
0.996317	0.00456418	2.48665	0.994656
0.971688	0.0354391	2.39863	0.95921
0.865968	0.170362	2.04994	0.814951
0.702994	0.40678	1.57451	0.606539
