Rho	U	E	P
1	0	2.5	1
1	-4.81689e-16	2.5	1
1	-3.43207e-16	2.5	1
1	-2.36181e-16	2.5	1
1	-2.24043e-16	2.5	1
1	5.13737e-16	2.5	1
1	5.5711e-16	2.5	1
1	-6.95962e-16	2.5	1
1	9.92539e-17	2.5	1
1	-2.43139e-16	2.5	1
1	4.47346e-16	2.5	1
1	-9.79957e-17	2.5	1
1	-1.28564e-16	2.5	1
1	8.9632e-17	2.5	1
1	1.40332e-16	2.5	1
1	-4.29064e-16	2.5	1
1	-1.68458e-16	2.5	1
1	1.39222e-16	2.5	1
1	5.63697e-16	2.5	1
1	-6.37638e-16	2.5	1
1	1.4911e-15	2.5	1
1	-3.41305e-15	2.5	1
1	6.10985e-15	2.5	1
1	-1.11885e-14	2.5	1
1	1.90166e-14	2.5	1
1	-3.10307e-14	2.5	1
1	4.82342e-14	2.5	1
1	-7.49652e-14	2.5	1
1	1.16852e-13	2.5	1
1	-1.80699e-13	2.5	1
1	2.76808e-13	2.5	1
1	-4.21855e-13	2.5	1
1	6.38455e-13	2.5	1
1	-9.61085e-13	2.5	1
1	1.43987e-12	2.5	1
1	-2.14419e-12	2.5	1
1	3.17567e-12	2.5	1
1	-4.67452e-12	2.5	1
1	6.83954e-12	2.5	1
1	-9.94516e-12	2.5	1
1	1.4368e-11	2.5	1
1	-2.06175e-11	2.5	1
1	2.93817e-11	2.5	1
1	-4.157e-11	2.5	1
1	5.83708e-11	2.5	1
1	-8.13229e-11	2.5	1
1	1.12375e-10	2.5	1
1	-1.53965e-10	2.5	1
1	2.09066e-10	2.5	1
1	-2.81237e-10	2.5	1
1	3.74616e-10	2.5	1
1	-4.93851e-10	2.5	1
1	6.43953e-10	2.5	1
1	-8.30024e-10	2.5	1
1	1.05681e-09	2.5	1
1	-1.3281e-09	2.5	1
1	1.64592e-09	2.5	1
1	-2.00953e-09	2.5	1
1	2.41425e-09	2.5	1
1	-2.85028e-09	2.5	1
1	3.30163e-09	2.5	1
1	-3.74528e-09	2.5	1
1	4.15114e-09	2.5	1
1	-4.48276e-09	2.5	1
1	4.69955e-09	2.5	1
1	-4.76032e-09	2.5	1
1	4.62865e-09	2.5	1
1	-4.27942e-09	2.5	1
1	3.70623e-09	2.5	1
1	-2.92818e-09	2.5	1
1	1.99474e-09	2.5	1
1	-9.86516e-10	2.5	1
1	1.04305e-11	2.5	1
1	8.11698e-10	2.5	1
1	-1.36116e-09	2.5	1
1	1.54855e-09	2.5	1
1	-1.35817e-09	2.5	1
1	9.34709e-10	2.5	1
1	-7.08956e-10	2.5	1
1	1.3253e-09	2.5	1
1	-2.47927e-09	2.5	1
1	-5.86058e-10	2.5	1
1	1.89534e-08	2.5	1
1	-5.56084e-08	2.5	1
1	6.89377e-08	2.5	1
0.999997	3.32796e-06	2.49999	0.999996
0.999981	2.25493e-05	2.49993	0.999973
0.999883	0.000142854	2.49958	0.999832
0.999339	0.000799447	2.49765	0.999059
0.996708	0.00394387	2.48839	0.995353
0.985626	0.0172008	2.44976	0.979845
0.94914	0.0615353	2.32541	0.929447
0.886831	0.140334	2.12147	0.845096
0.816498	0.236777	1.90398	0.752438
0.744225	0.336722	1.69522	0.661211
0.678506	0.445467	1.52086	0.581415
0.616007	0.543132	1.3553	0.505777
0.558291	0.657505	1.2282	0.443008
0.505688	0.747353	1.10464	0.385368
0.46075	0.855087	1.01315	0.337884
0.43577	0.909605	0.951395	0.308449
0.417558	0.94079	0.928141	0.297341
0.425931	0.930649	0.938981	0.301812
0.432995	0.919296	0.95101	0.307219
0.428316	0.923658	0.942995	0.304115
0.402217	0.927335	0.926666	0.301489
0.33837	0.927885	0.902843	0.302872
0.280198	0.930163	0.879573	0.303344
0.256223	0.924583	0.865447	0.302372
0.253683	0.927397	0.866518	0.30297
0.257224	0.928673	0.870128	0.303683
0.262594	0.92446	0.860399	0.299276
0.226416	0.717665	0.631227	0.229168
0.134449	0.0871658	0.279396	0.111554
0.125548	0.0050939	0.251633	0.100653
0.125035	0.00031667	0.250101	0.10004
0.125002	1.7418e-05	0.250006	0.100002
0.125	-2.27724e-08	0.25	0.1
0.125	-1.87936e-07	0.25	0.1
0.125	9.97621e-08	0.25	0.1
0.125	-2.683e-08	0.25	0.1
0.125	-8.2282e-09	0.25	0.1
0.125	1.79185e-08	0.25	0.1
0.125	-1.43062e-08	0.25	0.1
0.125	4.03075e-09	0.25	0.1
0.125	9.34779e-09	0.25	0.1
0.125	-2.35278e-08	0.25	0.1
0.125	3.67868e-08	0.25	0.1
0.125	-4.78653e-08	0.25	0.1
0.125	5.59894e-08	0.25	0.1
0.125	-6.08602e-08	0.25	0.1
0.125	6.25821e-08	0.25	0.1
0.125	-6.15512e-08	0.25	0.1
0.125	5.83338e-08	0.25	0.1
0.125	-5.35579e-08	0.25	0.1
0.125	4.78291e-08	0.25	0.1
0.125	-4.16765e-08	0.25	0.1
0.125	3.55234e-08	0.25	0.1
0.125	-2.96796e-08	0.25	0.1
0.125	2.43485e-08	0.25	0.1
0.125	-1.96422e-08	0.25	0.1
0.125	1.56013e-08	0.25	0.1
0.125	-1.22139e-08	0.25	0.1
0.125	9.43386e-09	0.25	0.1
0.125	-7.19499e-09	0.25	0.1
0.125	5.42257e-09	0.25	0.1
0.125	-4.04115e-09	0.25	0.1
0.125	2.97985e-09	0.25	0.1
0.125	-2.17527e-09	0.25	0.1
0.125	1.57281e-09	0.25	0.1
0.125	-1.12689e-09	0.25	0.1
0.125	8.00409e-10	0.25	0.1
0.125	-5.63813e-10	0.25	0.1
0.125	3.94008e-10	0.25	0.1
0.125	-2.73251e-10	0.25	0.1
0.125	1.88122e-10	0.25	0.1
0.125	-1.28607e-10	0.25	0.1
0.125	8.73277e-11	0.25	0.1
0.125	-5.89128e-11	0.25	0.1
0.125	3.94937e-11	0.25	0.1
0.125	-2.63163e-11	0.25	0.1
0.125	1.74331e-11	0.25	0.1
0.125	-1.14826e-11	0.25	0.1
0.125	7.52288e-12	0.25	0.1
0.125	-4.90117e-12	0.25	0.1
0.125	3.17717e-12	0.25	0.1
0.125	-2.04896e-12	0.25	0.1
0.125	1.31477e-12	0.25	0.1
0.125	-8.40623e-13	0.25	0.1
0.125	5.33901e-13	0.25	0.1
0.125	-3.38502e-13	0.25	0.1
0.125	2.12686e-13	0.25	0.1
0.125	-1.33026e-13	0.25	0.1
0.125	8.20314e-14	0.25	0.1
0.125	-5.11279e-14	0.25	0.1
0.125	3.2068e-14	0.25	0.1
0.125	-1.99496e-14	0.25	0.1
0.125	1.09192e-14	0.25	0.1
0.125	-6.64172e-15	0.25	0.1
0.125	3.9498e-15	0.25	0.1
0.125	-1.35129e-15	0.25	0.1
0.125	8.40809e-16	0.25	0.1
0.125	-7.79303e-16	0.25	0.1
0.125	5.09074e-16	0.25	0.1
0.125	2.40548e-17	0.25	0.1
0.125	2.68008e-16	0.25	0.1
0.125	-7.13503e-16	0.25	0.1
0.125	6.96258e-16	0.25	0.1
0.125	-6.65024e-16	0.25	0.1
0.125	3.55271e-17	0.25	0.1
0.125	7.48142e-16	0.25	0.1
0.125	-2.52539e-16	0.25	0.1
0.125	-1.64165e-16	0.25	0.1
0.125	-9.94538e-16	0.25	0.1
0.125	9.87284e-16	0.25	0.1
0.125	-1.55957e-15	0.25	0.1
0.125	1.69753e-15	0.25	0.1
0.125	-1.79183e-15	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
0.125	0	0.25	0.1
