Rho	U	E	P
1	0	2.5	1
1	-3.81103e-16	2.5	1
1	-2.92803e-16	2.5	1
1	-1.53433e-16	2.5	1
1	-2.52835e-16	2.5	1
1	4.08636e-16	2.5	1
1	5.49412e-16	2.5	1
1	-6.74349e-16	2.5	1
1	1.06433e-16	2.5	1
1	-2.20194e-16	2.5	1
1	3.79326e-16	2.5	1
1	-1.07025e-16	2.5	1
1	-7.26086e-17	2.5	1
1	1.10134e-16	2.5	1
1	1.05693e-16	2.5	1
1	-4.03233e-16	2.5	1
1	-1.19164e-16	2.5	1
1	1.16425e-16	2.5	1
1	4.34615e-16	2.5	1
1	-1.29896e-16	2.5	1
1	1.21606e-16	2.5	1
1	-2.16642e-16	2.5	1
1	-9.4443e-17	2.5	1
1	-2.76075e-17	2.5	1
1	1.07914e-16	2.5	1
1	-9.16674e-16	2.5	1
1	3.01115e-15	2.5	1
1	-5.92615e-15	2.5	1
1	1.04816e-14	2.5	1
1	-1.7319e-14	2.5	1
1	2.80872e-14	2.5	1
1	-4.52996e-14	2.5	1
1	7.20222e-14	2.5	1
1	-1.13364e-13	2.5	1
1	1.76912e-13	2.5	1
1	-2.74887e-13	2.5	1
1	4.24696e-13	2.5	1
1	-6.51258e-13	2.5	1
1	9.93682e-13	2.5	1
1	-1.50803e-12	2.5	1
1	2.27518e-12	2.5	1
1	-3.41123e-12	2.5	1
1	5.08354e-12	2.5	1
1	-7.52715e-12	2.5	1
1	1.10695e-11	2.5	1
1	-1.61715e-11	2.5	1
1	2.34567e-11	2.5	1
1	-3.37711e-11	2.5	1
1	4.82455e-11	2.5	1
1	-6.83689e-11	2.5	1
1	9.60733e-11	2.5	1
1	-1.33815e-10	2.5	1
1	1.84666e-10	2.5	1
1	-2.52374e-10	2.5	1
1	3.41388e-10	2.5	1
1	-4.56836e-10	2.5	1
1	6.04374e-10	2.5	1
1	-7.89924e-10	2.5	1
1	1.01921e-09	2.5	1
1	-1.29707e-09	2.5	1
1	1.62652e-09	2.5	1
1	-2.00752e-09	2.5	1
1	2.43558e-09	2.5	1
1	-2.90025e-09	2.5	1
1	3.38361e-09	2.5	1
1	-3.85931e-09	2.5	1
1	4.29229e-09	2.5	1
1	-4.6398e-09	2.5	1
1	4.85414e-09	2.5	1
1	-4.88758e-09	2.5	1
1	4.69929e-09	2.5	1
1	-4.26408e-09	2.5	1
1	3.58175e-09	2.5	1
1	-2.68485e-09	2.5	1
1	1.64247e-09	2.5	1
1	-5.57571e-10	2.5	1
1	-4.40454e-10	2.5	1
1	1.1974e-09	2.5	1
1	-1.50984e-09	2.5	1
1	1.08853e-09	2.5	1
1	2.79555e-10	2.5	1
1	-1.70326e-09	2.5	1
1	-1.33379e-09	2.5	1
1	1.67875e-08	2.5	1
1	-3.97513e-08	2.5	1
1	-1.42809e-09	2.5	1
0.999998	2.85769e-06	2.49999	0.999997
0.999983	2.04337e-05	2.49994	0.999976
0.999888	0.000137219	2.4996	0.999839
0.999334	0.000808007	2.49762	0.999049
0.996531	0.00416614	2.48775	0.995095
0.984055	0.0189885	2.44444	0.977703
0.942763	0.070026	2.30368	0.920547
0.872391	0.158902	2.07499	0.82559
0.793565	0.267719	1.83801	0.723829
0.717001	0.381522	1.61916	0.626791
0.643789	0.497627	1.43102	0.540523
0.582162	0.613705	1.27211	0.464993
0.514428	0.725787	1.13388	0.399356
0.469972	0.84196	1.02439	0.343123
0.432058	0.910528	0.950776	0.30867
0.41986	0.941294	0.930656	0.29786
0.427368	0.933068	0.937452	0.300566
0.431238	0.916422	0.949891	0.307523
0.414941	0.922928	0.934213	0.302996
0.358082	0.929918	0.912117	0.302917
0.290391	0.929442	0.882352	0.302769
0.259839	0.925058	0.866607	0.302172
0.253802	0.929308	0.868264	0.303468
0.255192	0.927724	0.871433	0.304646
